keyword,category,language
"Sharm El Sheikh hotels prices","prices","en"
"best snorkeling in Sharm El Sheikh","itinerary","en"

"رحلات دهب","destination","ar"
"عروض دهب","offers","ar"
"اسعار فنادق دهب","prices","ar"
"دهب بلو هول غطس","itinerary","ar"
"Dahab trip package","destination","en"
"Dahab camps prices","prices","en"
"Dahab Blue Hole snorkeling","itinerary","en"
"best camps in Dahab","prices","en"

"رحلات نويبع","destination","ar"
"عروض نويبع","offers","ar"
"اسعار مخيمات نويبع","prices","ar"
"نويبع مخيمات على البحر","itinerary","ar"
"Nuweiba beach camps prices","prices","en"
"Nuweiba trip package","destination","en"

"رحلات طابا","destination","ar"
"عروض طابا","offers","ar"
"اسعار فنادق طابا","prices","ar"
"Taba Egypt resort deals","offers","en"
"Taba Egypt hotels prices","prices","en"

"رحلات الغردقة","destination","ar"
"عروض الغردقة","offers","ar"
"اسعار فنادق الغردقة","prices","ar"
"الغردقة all inclusive","offers","ar"
"رحلات بحرية الغردقة","itinerary","ar"
"Hurghada package deals","offers","en"
"Hurghada all inclusive resorts","offers","en"
"Hurghada hotels prices","prices","en"
"Hurghada snorkeling boat trips","itinerary","en"

"رحلات الجونة","destination","ar"
"عروض الجونة","offers","ar"
"اسعار فنادق الجونة","prices","ar"
"El Gouna trip package","destination","en"
"El Gouna hotel deals","offers","en"
"El Gouna hotels prices","prices","en"

"رحلات مرسى علم","destination","ar"
"عروض مرسى علم","offers","ar"
"اسعار فنادق مرسى علم","prices","ar"
"مرسى علم دولفين هاوس","itinerary","ar"
"Marsa Alam resort deals","offers","en"
"Marsa Alam hotels prices","prices","en"
"Marsa Alam Dolphin House trip","itinerary","en"

"رحلات الفيوم","destination","ar"
"عروض الفيوم","offers","ar"
"اسعار فنادق الفيوم","prices","ar"
"رحلات وادي الريان","itinerary","ar"
"رحلات قرية تونس الفيوم","itinerary","ar"
"رحلات وادي الحيتان","itinerary","ar"
"Fayoum day trip","day_trip","en"
"Fayoum hotel deals","offers","en"
"Wadi El Rayan trip","itinerary","en"
"Whale Valley Wadi Al Hitan tour","itinerary","en"
"Tunis village Fayoum","itinerary","en"

"رحلات سيوة","destination","ar"
"عروض سيوة","offers","ar"
"اسعار فنادق سيوة","prices","ar"
"برنامج سيوة 3 ايام","itinerary","ar"
"سيوة سفاري","itinerary","ar"
"Siwa Oasis tour package","destination","en"
"Siwa travel deals","offers","en"
"Siwa eco lodge prices","prices","en"
"Siwa safari tour","itinerary","en"

"رحلات الصحراء البيضاء","destination","ar"
"عروض الصحراء البيضاء","offers","ar"
"اسعار رحلات الصحراء البيضاء","prices","ar"
"White Desert Egypt tour","destination","en"
"White Desert camping trip price","prices","en"

"رحلات سانت كاترين","destination","ar"
"عروض سانت كاترين","offers","ar"
"برنامج سانت كاترين طلوع جبل موسى","itinerary","ar"
"St Catherine Mount Sinai hike","itinerary","en"
"Mount Sinai sunrise tour price","prices","en"

"رحلات الاقصر","destination","ar"
"عروض الاقصر","offers","ar"
"اسعار فنادق الاقصر","prices","ar"
"برنامج الاقصر 3 ايام","itinerary","ar"
"Luxor tour package","destination","en"
"Luxor hotel deals","offers","en"
"Luxor hotels prices","prices","en"
"Luxor itinerary 3 days","itinerary","en"

"رحلات اسوان","destination","ar"
"عروض اسوان","offers","ar"
"اسعار فنادق اسوان","prices","ar"
"برنامج اسوان 3 ايام","itinerary","ar"
"رحلة النوبة اسوان","itinerary","ar"
"Aswan tour package","destination","en"
"Aswan hotel deals","offers","en"
"Aswan hotels prices","prices","en"
"Aswan itinerary 3 days","itinerary","en"

"رحلة ابو سمبل","destination","ar"
"ابو سمبل من اسوان","itinerary","ar"
"Abu Simbel day trip from Aswan","itinerary","en"
"Abu Simbel tour price","prices","en"

"رحلات القاهرة","destination","ar"
"عروض القاهرة سياحة","offers","ar"
"اسعار فنادق القاهرة","prices","ar"
"برنامج سياحي القاهرة 2 يوم","itinerary","ar"
"رحلات الاهرامات","itinerary","ar"
"رحلة سقارة دهشور","itinerary","ar"
"Cairo tour package","destination","en"
"Cairo hotel deals","offers","en"
"Cairo hotels prices","prices","en"
"Giza pyramids tour price","prices","en"
"Saqqara Dahshur day trip","itinerary","en"
